Date,Price,Open,High,Low,Vol.,Change %
08-10-2023,"44,541.80","44,797.65","44,980.35","44,418.40",232.04M,-0.76%
08-09-2023,"44,880.70","44,973.45","44,975.00","44,533.75",177.28M,-0.19%
08-08-2023,"44,964.45","44,888.95","45,096.85","44,817.85",229.41M,0.28%
08-07-2023,"44,837.50","44,993.70","45,011.35","44,773.85",200.78M,-0.09%
08-04-2023,"44,879.50","44,754.75","45,118.05","44,520.55",245.17M,0.82%
08-03-2023,"44,513.45","44,862.85","45,038.45","44,279.40",245.77M,-1.07%
08-02-2023,"44,995.70","45,234.65","45,404.90","44,720.90",233.60M,-1.31%
08-01-2023,"45,592.50","45,740.00","45,782.75","45,471.05",175.24M,-0.13%
07/31/2023,"45,651.10","45,546.35","45,694.90","45,359.75",247.86M,0.40%
07/28/2023,"45,468.10","45,560.90","45,727.75","45,238.80",194.67M,-0.46%
07/27/2023,"45,679.30","46,285.85","46,310.10","45,570.65",320.42M,-0.83%
07/26/2023,"46,062.35","45,935.15","46,096.60","45,804.70",298.41M,0.47%
07/25/2023,"45,845.00","46,154.70","46,156.10","45,622.85",228.14M,-0.17%
07/24/2023,"45,923.05","46,131.90","46,191.50","45,858.75",225.84M,-0.33%
07/21/2023,"46,075.20","46,063.95","46,369.50","45,925.90",235.59M,-0.24%
07/20/2023,"46,186.90","45,689.05","46,256.20","45,640.95",315.18M,1.13%
07/19/2023,"45,669.30","45,622.50","45,707.40","45,433.00",261.05M,0.57%
07/18/2023,"45,410.85","45,754.80","45,905.85","45,281.30",307.33M,-0.09%
07/17/2023,"45,449.75","44,951.20","45,556.45","44,695.05",245.93M,1.41%
07/14/2023,"44,819.30","44,860.65","44,923.85","44,547.80",196.33M,0.35%
07/13/2023,"44,665.05","45,009.30","45,085.15","44,612.20",336.82M,0.06%
07-12-2023,"44,639.45","44,872.60","44,937.25","44,562.40",233.08M,-0.24%
07-11-2023,"44,745.05","44,998.00","45,139.55","44,663.05",208.99M,-0.26%
07-10-2023,"44,860.85","44,958.65","45,184.30","44,721.90",220.87M,-0.14%
07-07-2023,"44,925.00","45,118.05","45,227.25","44,844.80",220.93M,-0.92%
07-06-2023,"45,339.90","45,060.55","45,417.50","45,042.60",244.92M,0.42%
07-05-2023,"45,151.80","45,169.70","45,418.90","45,073.40",366.29M,-0.33%
07-04-2023,"45,301.45","45,310.55","45,655.50","45,000.25",462.97M,0.32%
07-03-2023,"45,158.10","44,957.95","45,353.20","44,882.10",228.17M,0.92%
06/30/2023,"44,747.35","44,666.00","44,787.10","44,447.20",191.26M,0.95%
06/28/2023,"44,327.80","44,419.50","44,508.40","44,163.20",243.83M,0.47%
06/27/2023,"44,121.50","43,804.55","44,194.65","43,693.15",137.30M,1.10%
06/26/2023,"43,641.05","43,714.75","43,773.10","43,541.75",120.69M,0.04%
06/23/2023,"43,622.90","43,641.60","43,824.10","43,519.55",161.31M,-0.23%
06/22/2023,"43,724.85","43,874.80","44,042.15","43,663.35",263.76M,-0.31%
06/21/2023,"43,859.20","43,894.40","43,946.70","43,698.95",179.99M,0.21%
06/20/2023,"43,766.50","43,597.55","43,823.95","43,345.95",161.88M,0.30%
06/19/2023,"43,633.75","44,015.30","44,040.35","43,501.40",234.90M,-0.69%
06/16/2023,"43,938.15","43,583.35","44,083.25","43,536.95",234.69M,1.14%
06/15/2023,"43,443.60","44,054.35","44,077.45","43,397.50",228.18M,-1.24%
06/14/2023,"43,988.00","44,181.65","44,212.35","43,956.15",154.60M,-0.21%
06/13/2023,"44,079.85","43,889.70","44,138.15","43,889.70",160.04M,0.31%
06-12-2023,"43,944.20","44,035.20","44,124.95","43,874.05",91.41M,-0.10%
06-09-2023,"43,989.00","44,045.75","44,220.10","43,932.60",132.31M,-0.01%
06-08-2023,"43,995.25","44,208.30","44,459.25","43,917.90",160.16M,-0.63%
06-07-2023,"44,275.30","44,318.70","44,346.30","44,143.50",119.22M,0.25%
06-06-2023,"44,164.55","44,156.70","44,236.20","44,009.70",123.56M,0.14%
06-05-2023,"44,101.65","44,103.25","44,266.15","44,074.20",124.51M,0.37%
06-02-2023,"43,937.85","43,997.30","44,088.90","43,812.55",123.85M,0.34%
06-01-2023,"43,790.20","44,172.05","44,179.95","43,706.15",182.95M,-0.77%
05/31/2023,"44,128.15","44,318.00","44,339.05","43,822.70",305.74M,-0.69%
05/30/2023,"44,436.35","44,277.35","44,498.60","44,207.50",157.59M,0.28%
05/29/2023,"44,311.90","44,276.80","44,483.35","44,193.95",148.58M,0.67%
05/26/2023,"44,018.00","43,765.35","44,067.60","43,588.80",143.22M,0.77%
05/25/2023,"43,681.40","43,630.25","43,719.85","43,390.30",170.19M,0.01%
05/24/2023,"43,677.85","43,751.95","44,010.45","43,639.80",148.63M,-0.63%
05/23/2023,"43,954.45","43,978.90","44,095.25","43,852.20",142.02M,0.16%
05/22/2023,"43,885.10","43,935.30","44,026.75","43,684.90",183.78M,-0.19%
05/19/2023,"43,969.40","43,930.00","44,020.90","43,531.90",192.04M,0.50%
05/18/2023,"43,752.30","44,006.90","44,079.20","43,673.70",226.49M,0.12%
05/17/2023,"43,698.70","43,948.50","43,992.75","43,446.40",203.60M,-0.47%
05/16/2023,"43,903.70","44,144.15","44,144.15","43,815.70",222.54M,-0.38%
05/15/2023,"44,072.10","43,821.05","44,151.70","43,666.60",161.26M,0.64%
05-12-2023,"43,793.55","43,447.15","43,905.95","43,347.75",144.94M,0.73%
05-11-2023,"43,475.30","43,535.10","43,774.25","43,367.25",190.69M,0.33%
05-10-2023,"43,331.05","43,275.25","43,383.65","42,822.15",249.13M,0.31%
05-09-2023,"43,198.15","43,438.55","43,533.25","43,125.85",228.99M,-0.20%
05-08-2023,"43,284.00","42,796.85","43,418.55","42,780.30",223.35M,1.46%
05-05-2023,"42,661.20","43,110.65","43,588.00","42,582.20",251.22M,-2.34%
05-04-2023,"43,685.45","43,236.10","43,739.80","43,213.95",175.45M,0.86%
05-03-2023,"43,312.70","43,154.85","43,354.95","43,078.15",175.91M,-0.09%
05-02-2023,"43,352.10","43,395.05","43,483.85","43,269.40",241.56M,0.27%
04/28/2023,"43,233.90","43,045.50","43,302.05","42,810.35",238.72M,0.54%
04/27/2023,"43,000.85","42,753.90","43,043.40","42,736.60",181.35M,0.40%
04/26/2023,"42,829.90","42,559.05","42,875.60","42,432.25",177.95M,0.35%
04/25/2023,"42,678.50","42,731.60","42,865.55","42,601.50",262.42M,0.10%
04/24/2023,"42,635.75","42,469.95","42,714.15","42,269.10",201.02M,1.23%
04/21/2023,"42,118.00","42,252.55","42,382.15","41,962.35",144.15M,-0.36%
04/20/2023,"42,269.50","42,218.50","42,378.15","42,108.85",180.25M,0.27%
04/19/2023,"42,154.00","42,280.10","42,339.90","42,022.15",169.98M,-0.26%
04/18/2023,"42,265.20","42,406.95","42,500.70","42,114.35",214.19M,0.01%
04/17/2023,"42,262.55","42,603.55","42,603.55","41,799.00",229.08M,0.31%
04/13/2023,"42,132.55","41,680.10","42,196.20","41,502.65",232.56M,1.38%
04-12-2023,"41,557.95","41,426.00","41,610.15","41,332.00",142.99M,0.46%
04-11-2023,"41,366.50","41,232.00","41,403.25","40,990.20",219.24M,1.30%
04-10-2023,"40,834.65","41,116.15","41,139.85","40,727.25",153.86M,-0.50%
04-06-2023,"41,041.00","40,940.70","41,274.70","40,820.55",196.45M,0.10%
04-05-2023,"40,999.15","40,972.30","41,071.15","40,802.65",177.38M,0.46%
04-03-2023,"40,813.05","40,695.80","40,857.60","40,535.90",167.45M,0.50%
03/31/2023,"40,608.65","40,231.25","40,690.40","40,180.20",188.00M,1.75%
03/29/2023,"39,910.15","39,611.55","40,055.00","39,609.55",259.64M,0.86%
03/28/2023,"39,567.90","39,545.05","39,645.20","39,326.10",202.32M,0.35%
03/27/2023,"39,431.30","39,484.70","39,695.20","39,273.75",194.16M,0.09%
03/24/2023,"39,395.35","39,555.25","39,767.90","39,294.90",166.14M,-0.56%
03/23/2023,"39,616.90","39,836.15","40,201.60","39,552.50",153.17M,-0.96%
03/22/2023,"39,999.05","40,036.00","40,085.60","39,837.80",,0.26%
03/21/2023,"39,894.70","39,599.65","39,970.90","39,366.30",187.94M,1.35%
03/20/2023,"39,361.95","39,512.10","39,512.10","38,941.90",173.82M,-0.60%
03/17/2023,"39,598.10","39,442.40","39,705.15","38,926.80",173.39M,1.19%
03/16/2023,"39,132.60","39,061.70","39,381.40","38,613.15",196.31M,0.21%
03/15/2023,"39,051.50","39,777.90","39,914.10","38,934.65",164.31M,-0.91%
03/14/2023,"39,411.40","39,522.40","39,768.50","39,132.60",205.73M,-0.39%
03/13/2023,"39,564.70","40,356.10","40,690.05","39,454.60",174.46M,-2.27%
03-10-2023,"40,485.45","40,805.25","40,839.00","40,341.70",145.26M,-1.87%
03-09-2023,"41,256.75","41,532.65","41,659.00","41,208.10",119.23M,-0.77%
03-08-2023,"41,577.10","41,178.35","41,625.35","41,100.35",157.57M,0.55%
03-06-2023,"41,350.40","41,418.40","41,671.20","41,259.15",180.16M,0.24%
03-03-2023,"41,251.35","40,671.40","41,390.15","40,605.35",213.84M,2.13%
03-02-2023,"40,389.80","40,604.55","40,773.25","40,312.90",149.21M,-0.76%
03-01-2023,"40,698.15","40,473.85","40,725.35","40,341.95",169.75M,1.07%
02/28/2023,"40,269.05","40,302.70","40,391.45","40,073.00",327.75M,-0.09%
02/27/2023,"40,307.10","39,820.40","40,371.45","39,745.40",165.15M,1.00%
02/24/2023,"39,909.40","40,259.10","40,348.10","39,818.90",144.56M,-0.23%
02/23/2023,"40,001.55","39,983.70","40,147.80","39,600.25",200.50M,0.01%
02/22/2023,"39,995.90","40,494.15","40,529.25","39,899.00",155.20M,-1.67%
02/21/2023,"40,673.60","40,784.90","40,946.20","40,508.25",170.24M,-0.07%
02/20/2023,"40,701.70","41,221.55","41,292.60","40,580.10",143.71M,-1.05%
02/17/2023,"41,131.75","41,514.00","41,516.30","40,882.70",111.73M,-1.20%
02/16/2023,"41,631.35","41,925.70","41,979.10","41,521.95",111.73M,-0.24%
02/15/2023,"41,731.05","41,674.60","41,795.45","41,455.60",116.29M,0.20%
02/14/2023,"41,648.35","41,410.45","41,718.00","41,195.75",143.11M,0.89%
02/13/2023,"41,282.20","41,563.50","41,662.55","41,157.90",147.01M,-0.67%
02-10-2023,"41,559.40","41,452.40","41,678.90","41,424.90",154.96M,0.01%
02-09-2023,"41,554.30","41,634.00","41,634.00","41,252.95",142.93M,0.04%
02-08-2023,"41,537.65","41,542.05","41,791.95","41,403.05",136.47M,0.11%
02-07-2023,"41,490.95","41,513.10","41,630.75","41,095.10",171.89M,0.28%
02-06-2023,"41,374.65","41,530.15","41,724.50","41,261.20",197.82M,-0.30%
02-03-2023,"41,499.70","41,019.35","41,539.95","40,609.75",308.81M,2.04%
02-02-2023,"40,669.30","39,943.35","40,757.60","39,761.45",348.48M,0.39%
02-01-2023,"40,513.00","41,115.00","42,015.65","39,490.50",400.08M,-0.35%
01/31/2023,"40,655.05","40,563.85","40,811.65","40,167.70",289.91M,0.66%
01/30/2023,"40,387.45","39,856.15","40,789.55","39,419.80",369.85M,0.10%
01/27/2023,"40,345.30","41,382.35","41,417.90","40,148.80",350.77M,-3.13%
01/25/2023,"41,647.65","42,703.60","42,733.05","41,540.30",244.65M,-2.54%
01/24/2023,"42,733.45","42,994.45","43,078.90","42,615.65",159.46M,-0.21%
01/23/2023,"42,821.25","42,891.45","43,005.85","42,727.70",203.64M,0.74%
01/20/2023,"42,506.80","42,516.05","42,709.20","42,366.15",159.10M,0.42%
01/19/2023,"42,328.85","42,416.30","42,506.25","42,234.90",143.43M,-0.30%
01/18/2023,"42,458.00","42,271.80","42,555.90","42,119.65",170.54M,0.53%
01/17/2023,"42,235.05","42,241.20","42,383.80","41,861.10",256.32M,0.16%
01/16/2023,"42,167.55","42,622.50","42,715.65","42,066.55",312.32M,-0.48%
01/13/2023,"42,371.25","42,171.25","42,453.95","41,885.60",205.54M,0.69%
01-12-2023,"42,082.25","42,238.50","42,343.50","41,742.95",154.08M,-0.36%
01-11-2023,"42,232.70","42,071.85","42,318.00","41,729.00",169.80M,0.52%
01-10-2023,"42,014.75","42,642.00","42,674.25","41,835.75",179.30M,-1.33%
01-09-2023,"42,582.75","42,404.85","42,716.80","42,186.55",161.81M,0.93%
01-06-2023,"42,188.80","42,649.70","42,685.90","41,877.00",195.12M,-0.99%
01-05-2023,"42,608.70","43,073.05","43,137.55","42,298.60",189.08M,-0.81%
01-04-2023,"42,958.80","43,417.50","43,578.40","42,858.65",216.79M,-1.07%
01-03-2023,"43,425.25","43,151.45","43,482.80","43,148.45",197.04M,0.51%
01-02-2023,"43,203.10","43,038.25","43,382.75","42,961.75",179.81M,0.50%
12/30/2022,"42,986.45","43,401.70","43,422.95","42,833.10",258.70M,-0.61%
12/29/2022,"43,252.35","42,684.90","43,498.05","42,489.80",308.31M,0.99%
12/28/2022,"42,827.70","42,733.60","43,034.95","42,694.85",230.53M,-0.07%
12/27/2022,"42,859.50","42,827.75","42,927.20","42,394.15",229.63M,0.54%
12/26/2022,"42,630.15","41,716.35","42,846.15","41,569.45",323.17M,2.31%
12/23/2022,"41,668.05","41,951.35","42,226.65","41,597.65",332.59M,-1.75%
12/22/2022,"42,408.80","42,864.00","42,933.50","42,231.35",344.82M,-0.49%
12/21/2022,"42,617.95","43,525.75","43,614.65","42,363.80",279.42M,-1.71%
12/20/2022,"43,359.50","43,152.65","43,426.20","42,955.40",182.31M,-0.12%
12/19/2022,"43,413.75","43,346.35","43,451.45","43,110.30",175.57M,0.45%
12/16/2022,"43,219.50","43,261.75","43,598.20","43,080.55",275.18M,-0.64%
12/15/2022,"43,498.20","43,940.10","44,120.60","43,379.10",421.91M,-1.25%
12/14/2022,"44,049.10","44,078.60","44,151.80","43,987.95",349.18M,0.23%
12/13/2022,"43,946.55","43,793.70","43,983.80","43,767.75",276.98M,0.54%
12-12-2022,"43,708.75","43,455.85","43,767.05","43,378.80",234.23M,0.17%
12-09-2022,"43,633.45","43,765.30","43,853.40","43,361.70",443.55M,0.08%
12-08-2022,"43,596.85","43,142.25","43,640.90","43,095.30",355.69M,1.16%
12-07-2022,"43,098.70","43,157.35","43,327.35","42,948.45",242.86M,-0.09%
12-06-2022,"43,138.55","43,093.90","43,306.85","43,076.40",379.22M,-0.45%
12-05-2022,"43,332.95","43,269.35","43,372.15","42,985.00",242.58M,0.53%
12-02-2022,"43,103.75","42,976.70","43,131.90","42,937.80",212.81M,-0.36%
12-01-2022,"43,260.65","43,512.10","43,515.05","43,101.85",268.37M,0.07%
11/30/2022,"43,231.00","43,122.75","43,332.30","42,880.05",201.98M,0.41%
11/29/2022,"43,053.45","42,959.40","43,279.60","42,959.40",223.01M,0.08%
11/28/2022,"43,020.45","42,757.20","43,159.80","42,740.00",238.68M,0.08%
11/25/2022,"42,983.95","43,192.45","43,339.15","42,864.95",502.82M,-0.21%
11/24/2022,"43,075.40","42,838.35","43,163.40","42,769.65",204.94M,0.81%
11/23/2022,"42,729.10","42,668.55","42,860.55","42,556.40",359.10M,0.64%
11/22/2022,"42,457.05","42,467.40","42,508.75","42,347.15",216.31M,0.26%
11/21/2022,"42,346.55","42,286.95","42,386.80","42,202.55",259.08M,-0.21%
11/18/2022,"42,437.45","42,545.75","42,590.75","42,223.70",280.08M,-0.05%
11/17/2022,"42,458.05","42,399.65","42,622.75","42,366.55",165.40M,-0.18%
11/16/2022,"42,535.30","42,371.80","42,611.75","42,296.30",185.44M,0.38%
11/15/2022,"42,372.70","42,234.85","42,450.05","42,079.55",139.40M,0.70%
11/14/2022,"42,076.75","42,177.55","42,231.45","41,965.45",142.69M,-0.14%
11-11-2022,"42,137.05","42,163.40","42,345.50","41,918.10",255.37M,1.28%
11-10-2022,"41,603.75","41,462.85","41,643.90","41,318.60",253.44M,-0.43%
11-09-2022,"41,783.20","41,914.85","41,948.90","41,667.90",490.54M,0.23%
11-07-2022,"41,686.70","41,740.65","41,779.40","41,337.05",393.37M,1.04%
11-04-2022,"41,258.45","41,314.85","41,516.20","41,051.15",190.37M,-0.10%
11-03-2022,"41,298.35","40,873.70","41,478.00","40,819.15",263.65M,0.37%
11-02-2022,"41,146.65","41,472.60","41,474.30","41,060.45",175.82M,-0.35%
11-01-2022,"41,289.55","41,552.40","41,677.25","41,188.55",304.37M,-0.04%
10/31/2022,"41,307.90","41,265.70","41,353.70","41,106.10",237.16M,0.77%
10/28/2022,"40,990.85","41,236.80","41,482.40","40,839.30",237.12M,-0.75%
10/27/2022,"41,299.30","41,440.70","41,511.80","41,178.65",239.43M,0.43%
10/25/2022,"41,122.75","41,513.65","41,530.65","41,021.45",351.84M,-0.44%
10/24/2022,"41,304.90","41,348.35","41,427.25","41,201.15",74.34M,1.28%
10/21/2022,"40,784.05","40,370.75","41,032.25","40,355.45",324.24M,1.71%
10/20/2022,"40,099.55","40,149.50","40,208.35","39,848.85",262.76M,-0.68%
10/19/2022,"40,373.20","40,556.65","40,643.60","40,195.20",232.91M,0.14%
10/18/2022,"40,318.75","40,252.05","40,435.35","40,139.85",245.22M,1.00%
10/17/2022,"39,920.45","39,295.60","39,974.70","39,146.70",201.58M,1.56%
10/14/2022,"39,305.60","39,446.05","39,570.85","39,196.30",185.64M,1.76%
10/13/2022,"38,624.00","38,957.65","39,061.30","38,437.95",158.94M,-1.26%
10-12-2022,"39,118.55","38,784.20","39,164.10","38,606.40",195.83M,1.05%
10-11-2022,"38,712.45","39,058.85","39,174.95","38,622.75",177.56M,-0.97%
10-10-2022,"39,093.10","38,641.55","39,315.70","38,518.30",159.74M,-0.22%
10-07-2022,"39,178.05","39,093.50","39,235.05","38,807.50",165.02M,-0.27%
10-06-2022,"39,282.85","39,343.70","39,608.35","39,232.90",158.81M,0.44%
10-04-2022,"39,110.05","38,700.40","39,177.50","38,596.90",241.10M,2.84%
10-03-2022,"38,029.65","38,444.90","38,641.60","37,963.25",172.92M,-1.56%
09/30/2022,"38,631.95","37,660.00","38,811.00","37,386.35",246.06M,2.61%
09/29/2022,"37,647.75","38,092.85","38,283.40","37,536.65",253.01M,-0.30%
09/28/2022,"37,759.85","38,081.25","38,368.80","37,626.20",210.59M,-1.56%
09/27/2022,"38,359.15","38,811.70","39,050.50","38,184.90",168.71M,-0.67%
09/26/2022,"38,616.25","39,027.85","39,229.40","38,492.20",241.82M,-2.35%
09/23/2022,"39,546.25","40,429.35","40,528.40","39,412.70",226.22M,-2.67%
09/22/2022,"40,630.60","40,889.05","41,159.20","40,360.20",209.51M,-1.39%
09/21/2022,"41,203.45","41,282.60","41,501.70","40,889.15",151.27M,-0.64%
09/20/2022,"41,468.30","41,304.15","41,677.65","41,207.30",175.20M,1.38%
09/19/2022,"40,904.40","40,685.60","41,184.25","40,509.90",206.03M,0.31%
09/16/2022,"40,776.80","40,977.20","41,162.50","40,502.05",244.19M,-1.05%
09/15/2022,"41,209.20","41,533.70","41,840.15","41,153.50",245.31M,-0.47%
09/14/2022,"41,405.40","40,308.80","41,626.90","40,288.90",218.41M,1.30%
09/13/2022,"40,873.10","40,802.10","40,904.30","40,693.95",176.39M,0.74%
09-12-2022,"40,574.00","40,540.45","40,684.90","40,377.90",146.98M,0.39%
09-09-2022,"40,415.70","40,520.75","40,685.95","40,280.30",207.02M,0.51%
09-08-2022,"40,208.95","39,763.90","40,265.75","39,706.40",203.81M,1.91%
09-07-2022,"39,455.90","39,337.75","39,572.05","39,258.25",138.91M,-0.53%
09-06-2022,"39,666.50","39,892.95","40,073.75","39,564.30",210.17M,-0.35%
09-05-2022,"39,805.75","39,412.05","39,865.20","39,407.40",214.15M,0.98%
09-02-2022,"39,421.00","39,422.30","39,595.85","39,200.45",133.87M,0.30%
09-01-2022,"39,301.25","38,806.70","39,667.65","38,803.30",191.20M,-0.60%
08/30/2022,"39,536.75","38,516.95","39,606.55","38,472.70",176.78M,3.29%
08/29/2022,"38,276.70","38,111.60","38,397.10","37,943.85",158.05M,-1.82%
08/26/2022,"38,987.15","39,129.65","39,337.10","38,846.80",196.34M,0.09%
08/25/2022,"38,950.75","39,190.05","39,471.75","38,803.70",333.39M,-0.22%
08/24/2022,"39,038.50","38,552.70","39,120.80","38,552.20",214.86M,0.88%
08/23/2022,"38,697.65","37,955.45","38,869.90","37,950.85",176.42M,1.04%
08/22/2022,"38,297.75","38,693.65","38,732.85","38,247.25",124.27M,-1.77%
08/19/2022,"38,985.95","39,732.65","39,759.15","38,848.40",148.15M,-1.69%
08/18/2022,"39,656.15","39,324.40","39,703.70","39,291.15",137.21M,0.49%
08/17/2022,"39,461.70","39,351.30","39,504.50","39,202.80",169.78M,0.57%
08/16/2022,"39,239.65","39,284.10","39,444.60","39,119.90",,0.51%
08-12-2022,"39,042.30","38,942.45","39,088.90","38,739.95",125.30M,0.42%
08-11-2022,"38,879.85","38,712.95","38,932.10","38,648.90",200.94M,1.55%
08-10-2022,"38,287.85","38,298.85","38,402.95","38,155.30",163.93M,0.13%
08-08-2022,"38,237.40","37,847.35","38,302.35","37,681.45",174.06M,0.84%
08-05-2022,"37,920.60","37,868.25","38,150.45","37,779.90",175.94M,0.44%
08-04-2022,"37,755.55","38,111.05","38,231.85","37,249.50",186.30M,-0.62%
08-03-2022,"37,989.25","37,954.55","38,068.60","37,692.95",200.31M,-0.09%
08-02-2022,"38,024.00","37,767.70","38,179.85","37,632.30",317.26M,0.32%
08-01-2022,"37,903.20","37,594.15","37,939.60","37,407.20",346.40M,1.10%
07/29/2022,"37,491.40","37,717.30","37,754.65","37,221.15",166.94M,0.30%
07/28/2022,"37,378.15","37,102.45","37,414.40","37,028.50",172.52M,1.62%
07/27/2022,"36,783.75","36,370.55","36,808.30","36,248.60",113.12M,1.03%
07/26/2022,"36,408.50","36,688.55","36,695.75","36,334.10",114.00M,-0.87%
07/25/2022,"36,726.40","36,766.70","37,011.20","36,464.65",139.72M,-0.03%
07/22/2022,"36,738.95","36,322.90","36,823.45","36,286.35",143.65M,1.49%
07/21/2022,"36,201.00","36,026.55","36,331.70","35,887.35",153.82M,0.64%
07/20/2022,"35,972.10","36,061.30","36,182.70","35,876.55",173.39M,0.70%
07/19/2022,"35,720.35","35,113.25","35,761.65","35,110.50",183.42M,1.02%
07/18/2022,"35,358.70","34,841.85","35,382.50","34,804.40",146.65M,1.95%
07/15/2022,"34,682.65","34,734.45","34,899.95","34,463.90",99.15M,0.09%
07/14/2022,"34,651.20","34,817.95","35,027.60","34,558.45",121.30M,-0.51%
07/13/2022,"34,827.80","35,259.80","35,308.15","34,757.60",103.45M,-0.87%
07-12-2022,"35,132.25","35,298.70","35,419.65","35,047.50",113.40M,-0.95%
07-11-2022,"35,469.65","35,017.60","35,543.10","35,006.55",130.63M,0.98%
07-08-2022,"35,124.05","35,258.90","35,262.10","34,977.75",108.96M,0.58%
07-07-2022,"34,920.30","34,627.40","34,965.75","34,553.10",183.97M,1.74%
07-06-2022,"34,324.25","33,929.40","34,388.50","33,876.15",122.74M,1.50%
07-05-2022,"33,815.90","34,084.70","34,361.05","33,757.00",115.01M,-0.37%
07-04-2022,"33,940.90","33,558.85","33,978.50","33,515.60",152.56M,1.20%
07-01-2022,"33,539.45","33,264.75","33,666.50","33,080.45",149.94M,0.34%
06/30/2022,"33,425.10","33,180.70","33,659.30","33,179.60",149.54M,0.47%
06/29/2022,"33,269.90","33,273.55","33,422.80","33,185.25",140.80M,-1.11%
06/28/2022,"33,642.45","33,578.20","33,745.30","33,503.30",124.95M,-0.50%
06/27/2022,"33,811.25","34,126.20","34,147.50","33,735.50",111.40M,0.55%
06/24/2022,"33,627.45","33,434.80","33,721.90","33,390.85",149.78M,1.49%
06/23/2022,"33,135.00","32,927.40","33,431.75","32,652.15",193.13M,0.88%
06/22/2022,"32,845.30","33,051.65","33,106.95","32,758.15",134.96M,-1.04%
06/21/2022,"33,191.75","32,978.05","33,593.80","32,797.55",258.14M,1.55%
06/20/2022,"32,684.80","32,873.40","32,926.10","32,426.40",144.37M,-0.18%
06/17/2022,"32,743.05","32,393.45","32,889.80","32,290.55",139.83M,0.39%
06/16/2022,"32,617.10","33,648.80","33,756.50","32,537.95",129.46M,-2.17%
06/15/2022,"33,339.00","33,317.80","33,554.55","33,249.55",90.84M,0.08%
06/14/2022,"33,311.35","33,180.60","33,618.15","33,123.90",113.20M,-0.28%
06/13/2022,"33,405.85","33,728.65","33,774.05","33,210.35",131.88M,-3.13%
06-10-2022,"34,483.80","34,686.95","34,752.45","34,346.65",90.05M,-1.71%
06-09-2022,"35,085.45","34,802.25","35,149.10","34,659.10",100.85M,0.40%
