A,B,C,D,E,F,G
-0.73388673,7.820649296,5.55903301,2.973752002,-7.5502474,-5.487644293,-9.088374271
-6.138910023,-6.504434176,-4.856772906,1.001062938,-0.33008141,-3.30082955,1.978257031
-0.194539056,7.147020936,5.326139027,0.360453813,-7.351559057,-5.791158996,-8.774047738
-1.545318506,11.22480913,4.082387051,0.603366704,-6.96790924,-4.300400256,-9.642002325
7.005342198,1.756283539,2.760781701,-10.07342013,9.825965988,6.370173913,-7.297838955
-7.418084795,-4.768809104,-1.777666671,-0.545711086,6.772664092,-4.893785554,-1.442570723
6.940705435,1.416216403,3.674775233,-8.644712338,10.10470251,6.629730636,-6.299179714
-5.71469884,-5.127950838,-2.329380573,1.550926871,-1.685171811,-5.716450265,3.64211348
-7.515945124,-7.056131117,-4.295852566,0.422723485,-0.354721352,-3.48463487,2.288449863
-5.23354612,-4.416978794,-1.707863265,0.282492384,7.268016002,-6.734486222,0.05941746
-2.561602074,10.71839164,5.886770552,1.911165675,-5.928177914,-7.246616614,-10.54219934
-1.769544471,7.104930041,5.958181161,2.045850208,-7.291120336,-6.969343747,-8.875898402
8.278911487,0.824767924,3.267635125,-10.69233575,7.90794952,6.795267108,-4.591714738
-7.749034954,-5.487675879,-2.238152419,-0.229752775,6.042144385,-7.092460677,-0.461074976
-6.151719879,-4.599332555,-2.222613374,-1.042755749,6.07914046,-6.220852423,0.678323645
4.503354093,2.856355687,5.095763294,-10.0207113,10.67110726,6.585755263,-5.690786083
-3.864645126,8.305265171,6.593137974,1.447290008,-6.701877085,-6.479628207,-8.70726257
-5.232201606,-7.72442237,-3.759403233,0.395082322,-1.6350921,-4.584435044,2.618327041
0.06416218,9.073504562,4.653808128,1.949044597,-6.68154243,-7.024470005,-9.411989764
-6.362147353,-7.16031791,-4.090240291,0.578930992,-0.92043707,-2.674756347,1.760959425
-1.556072578,9.527371548,5.364974623,2.489347971,-7.521108786,-6.448187049,-8.037918231
-4.90259723,-7.411842085,-4.361638726,1.877547263,-0.897385748,-3.504245837,1.185926159
-3.012673277,7.463622697,4.708441811,0.91086597,-6.406034761,-7.799533828,-7.288393352
-6.072629465,-6.982451799,-2.977929967,-0.160622628,0.322315218,-5.171414303,0.891429976
-6.715973442,-2.811618073,-3.530235786,-1.597918883,6.863991733,-6.36076067,-0.697319645
-7.620553731,-6.607232331,-2.337827844,-0.010320889,-2.450902671,-3.523483795,2.409870174
-7.543018112,-6.199600782,-1.706806876,-1.415837303,-1.502115346,-3.699152179,2.270707853
-6.288988271,-6.904548322,-4.23865781,1.190043444,-1.861854046,-5.509383827,2.800511416
-3.764120291,9.198996603,5.577794374,1.985669006,-4.011224135,-8.548708852,-7.779599227
8.098296306,1.653967525,3.681091883,-11.18248644,9.921416054,7.731231527,-4.137236107
7.135828984,0.622957187,4.342929438,-10.91666191,9.563812168,8.02298864,-6.034240984
-5.523158476,-6.636985342,-2.698295432,0.008794755,-2.413525587,-4.971172273,1.492392992
-6.645660192,-8.188341353,-3.511267046,-0.778032762,-0.228694086,-4.797182884,2.141444871
10.31633349,3.768159205,4.884126381,-10.3415139,9.284604882,6.105432386,-4.489361847
-1.902474564,8.831089509,5.174384485,2.86082511,-7.200294817,-5.084898237,-8.608256997
-4.838197364,-4.799096671,-2.927059157,1.462651628,-1.663760671,-5.01279928,1.884840576
-7.113594313,-7.837619465,-3.746474281,0.87530602,-1.267266682,-4.154708512,1.16833094
-3.314164104,8.626586212,4.226263171,1.495524101,-8.134762563,-7.007764275,-9.398935393
-4.661013024,8.295132809,4.428748597,0.985990157,-7.010884158,-6.80325771,-9.063183738
7.595463506,1.970381876,5.67273468,-10.90097067,10.41965515,7.471195115,-5.054818665
6.910084113,2.972000619,4.435919892,-10.78482516,6.968074668,6.283072071,-5.824803479
6.552904965,3.542940331,3.846850108,-8.05812449,8.756069869,4.622275039,-5.351019962
5.578990027,1.332024002,3.977911234,-9.703261046,7.91596562,7.800518399,-5.855320845
-6.554405566,-4.063435997,-2.54877235,-0.652702295,7.350070648,-7.736522148,-0.684990893
-6.217265377,-5.740620214,-3.246907017,1.589295468,0.458935186,-4.196779568,1.715968932
-3.656357134,10.10419109,4.068694862,2.016998483,-5.923824446,-7.364367945,-8.884256585
-8.431010307,-5.22573506,-4.050810457,-0.324554745,5.587948386,-6.058277596,-1.420804676
-4.052648566,10.60846408,4.74341699,3.404321802,-7.139663441,-7.760121575,-8.569146836
-7.289267813,-4.235420713,-2.578319809,-0.657387786,3.964263582,-5.16950135,-0.561755607
7.237305817,1.892627183,2.624920866,-9.873099524,8.400932085,6.184998387,-6.85140417
-7.008122787,-6.125404178,-3.825926854,0.558146292,-0.837414886,-5.387939143,2.648418172
7.430808782,1.728868833,3.762026775,-11.10158958,8.093648144,7.933769601,-6.227100656
-3.58557881,8.340496023,5.597416,-0.73944288,-7.029082884,-8.310940795,-9.314881558
-4.992804667,-7.003885956,-2.993966103,0.162950839,0.140177256,-4.690281858,4.215709182
-6.458651168,-4.230922613,-5.674442161,0.914470505,-2.159620019,-6.082639196,2.035283518
7.272013722,2.397659931,4.046263227,-10.77139563,10.33200747,7.152085201,-3.447580949
-7.380966791,-4.723782619,-1.081980483,-0.841764507,7.2146643,-6.000897152,0.744944658
-7.603171095,-6.369760494,-5.551982983,-2.351245684,-2.428975854,-4.792042138,2.881314075
7.440184667,0.991194182,3.64832431,-7.818397046,10.30815958,7.288879434,-5.396805203
6.902420143,3.027121927,3.738014973,-10.32557179,11.67588597,8.467930006,-5.285642874
-2.124995551,8.019857606,4.889427026,0.790113499,-7.132390446,-5.850696492,-8.04162583
-7.163182671,-3.840190042,-1.931389242,-0.426896362,4.587079696,-5.71248327,1.138512344
-6.15042026,-6.419533349,-3.483299647,-0.079474289,-0.231576198,-3.701767419,2.387743752
-6.610990686,-5.582119013,-2.660282429,-0.535615974,3.798788009,-7.08085233,0.192898921
-6.223137749,-6.338302123,-5.151077314,0.138672846,-2.729035013,-3.58611539,2.182464628
-3.268870641,9.677932475,5.699444409,1.417889187,-5.841614664,-6.11589639,-7.110363921
-2.581207745,10.01781903,5.001514861,1.328049929,-6.518231586,-5.342073027,-8.874153796
6.039324705,1.458747054,5.751014889,-8.202872332,8.778597063,3.83054853,-5.965907521
-0.836625236,9.433305138,3.93486698,1.917400606,-6.321300279,-6.804104202,-8.299571764
6.852673085,2.678416437,4.930666833,-9.727905241,10.00499207,6.894672038,-7.170857544
-4.963597215,-5.054276453,-3.404423075,0.353988313,-0.846966927,-4.991601368,2.389191613
-9.50803532,-3.874047483,-3.881874423,-0.248881592,5.613095127,-5.90140326,0.985017939
8.999946333,2.748336234,5.420337762,-9.493628725,8.590981366,6.590986657,-6.5579696
-4.012167951,9.26802579,5.107572008,3.058956009,-6.781644038,-6.572059054,-9.229976324
-7.33736681,-6.518881316,-5.319920362,0.148254241,-3.040735125,-3.429100673,3.003561661
-8.153333876,-3.490432249,-3.505582514,-2.65551914,5.671757905,-4.551284055,-2.51016167
7.932761746,1.690435373,4.48623315,-9.108370373,8.391002056,6.817083357,-7.914521673
-7.362687559,-7.58490956,-4.102636628,-0.708958318,-2.4225726,-4.059796406,1.27118626
-2.978544089,7.728422111,4.134389081,2.182023226,-6.821414464,-7.27354749,-10.74752522
-7.921978941,-4.301708567,-3.991921736,-0.693203227,5.771616715,-5.038504082,1.141945305
-7.487003211,-4.047760011,-1.769475013,-0.692639062,7.825628685,-4.87065684,0.772296136
-8.684985998,-6.357679159,-4.515511835,1.511416575,0.394211443,-4.506469365,3.627783824
-7.505339175,-4.677259516,-1.982978986,-0.883789529,5.035820468,-5.852528827,-0.411397958
-3.356831552,8.36219724,3.550245799,1.188407776,-7.25013529,-8.285676612,-8.822709423
-6.158315765,-7.533445198,-5.251877225,0.942514929,-1.767456479,-4.341258102,1.877365229
7.661996021,2.171186839,2.64633662,-9.135036072,8.900005123,9.339167823,-6.322578979
7.070898047,-1.21921359,4.45861158,-9.590138873,9.53817914,6.702750163,-7.079479948
-5.424490777,-6.818678036,-3.370713807,2.07688279,-2.619970184,-3.819747323,3.067713586
-7.522235311,-1.684635489,-3.165953571,-1.457016553,5.90801127,-6.761497493,-1.156648826
-8.684171179,-3.389734868,-1.839591764,-1.459104993,4.785940842,-7.092266678,-0.242664475
9.171182918,2.330975529,4.627907529,-9.685499658,9.417456011,6.500569678,-4.735421817
-6.363253052,-3.869112717,-1.570845303,-0.363488361,7.511743237,-5.827935758,0.506499917
7.709689413,1.867609904,4.875329,-9.489295665,8.875782315,6.082039498,-4.942304014
-6.404431313,-4.014184904,-3.770639422,-0.328712634,5.047721916,-6.097510495,0.59009145
8.349610356,2.866090261,4.477539378,-10.25885328,9.246799551,4.495264703,-5.528797748
-7.030448768,-3.401473547,-2.387946919,-1.110139739,5.684430478,-4.547981591,1.372794061
-6.016434384,-7.789214572,-3.491696809,1.025552097,-1.75943825,-2.09038752,-0.05216937
-2.74575291,10.14990628,3.533585324,1.148655522,-7.488216914,-7.409087301,-9.894885399
8.077608721,1.863980622,6.029484481,-9.592222623,10.09869411,5.894248434,-5.250128533
-5.908455562,-4.50951697,-2.828624583,1.018288666,-2.38716771,-4.35514971,2.308722034
-7.142956857,-5.82240842,-4.955622449,-0.962145026,0.364898375,-3.595918458,1.972848609
-6.489379983,-6.115207812,-3.3404322,0.097216059,-2.594936213,-3.89933819,3.426449273
8.282776292,1.924269164,4.080380815,-9.124046371,9.966191583,7.825078523,-7.037589762
-1.863982037,9.569890594,4.729459517,1.775831264,-7.030900475,-7.075017874,-7.70455766
8.51469596,1.480827228,4.059445276,-8.917292309,10.46619482,7.587822285,-5.817095619
-6.492580644,-7.301342246,-4.185447458,3.591824146,-2.93045597,-4.645956336,0.824366742
5.251167734,2.176332077,4.078753811,-8.452118739,9.757252137,7.98308201,-6.450582014
-6.199549175,-5.921449581,-4.501967856,-0.708757002,1.064985987,-4.703189072,2.860475053
-1.551203682,9.677831747,3.613797992,2.354595301,-5.882361623,-5.698219551,-8.904776732
-2.554783639,9.257625578,4.398642778,2.32522508,-8.131166615,-5.436344989,-8.920478935
-8.031409583,-2.246671397,-3.661767572,-1.886868074,5.001298742,-7.20470511,0.299995343
-2.122611393,10.37358373,4.492739331,1.316545613,-6.00563744,-6.801670347,-8.655333307
-7.772052646,-4.924643673,-3.028506589,-1.449895258,6.974907785,-6.035498601,-1.329333904
6.305269014,0.936337064,3.460202012,-8.612171424,7.821888046,7.043610205,-5.390674695
7.802204096,2.178390973,4.849002276,-11.16553975,8.504616075,8.235752473,-8.213653609
-2.095581365,11.14987286,4.921913055,3.623742647,-7.508839341,-6.912157087,-8.804803054
8.041854459,1.921102608,6.062283371,-9.247445515,9.038291506,6.401145618,-5.713311092
-6.356570879,-3.590176064,0.078185399,-1.611010352,4.948801391,-5.860954876,1.799715152
7.861498885,1.069439194,3.316774293,-9.526575438,9.571394686,4.823237637,-5.298071405
-7.146676058,-2.896728511,-3.434090483,-2.127128998,5.469259771,-5.743840899,-0.226042914
6.319185089,2.14912492,3.795109879,-9.411548011,9.420547598,5.662193788,-5.126340723
-7.274889244,-4.563814045,-2.383867991,-0.057191993,5.708381483,-4.796272337,0.069619504
-7.295365716,-3.555326426,-0.851876543,-1.600854388,5.560139723,-4.436889852,0.953420499
-6.052105298,-5.81932665,-3.326132061,0.892532666,-0.780677687,-4.129678067,1.189191588
7.196323532,2.495115305,1.438997415,-9.422169501,8.248455588,6.973198527,-6.789546983
-7.381009049,-3.996355529,-3.392669539,-2.653445051,6.686656329,-7.14089596,0.124234905
-5.052287715,-4.80122369,-1.758894231,-0.688091333,4.254001211,-7.4783982,-0.167294979
7.908476409,2.079006884,4.640299129,-9.615524246,7.9684728,5.227958831,-5.956386315
6.081022079,1.077391512,4.807249198,-10.60397334,9.936408649,5.279389041,-3.988391903
-7.782329282,-3.715973173,-3.02597103,0.006776675,5.390012543,-6.58664182,0.245392226
-7.108911175,-4.76848705,-3.449574663,-1.975583759,4.961825229,-4.890817735,0.99139837
6.450928389,1.473903447,4.427666816,-10.08995679,9.153982003,5.184146134,-4.620261622
-8.562159214,-4.533711773,-2.760164844,0.184027182,6.625946978,-5.821691468,1.475227753
-3.006870146,7.746149323,4.471619702,2.04154125,-8.626093917,-6.548461926,-9.885485325
-6.995939694,-5.75470415,-3.194669033,1.031418695,-0.335965023,-5.08000841,3.169886599
8.305533902,1.591528626,2.830802473,-10.35930913,9.049730852,7.642855604,-5.795485785
-7.135665343,-6.742046065,-3.095156005,-0.625720635,0.192652259,-5.512569407,4.568543987
-6.894337062,-6.870602484,-4.306181459,1.911668984,-1.363777715,-5.143380036,1.279274538
7.588779939,1.586010044,4.476161498,-8.782412337,9.367603979,6.873452293,-4.369793708
-2.507578592,9.429059019,6.244217945,1.688075427,-6.740982007,-7.966235892,-9.706588718
-7.837169954,-5.187051753,-3.36236048,-1.204629632,5.047693283,-5.592692618,0.486583984
6.574711244,2.685573616,6.763931431,-9.110721295,8.480935401,6.281738646,-5.72162878
-7.501100861,-7.014449849,-4.431922708,0.772122964,0.342627528,-4.862297431,1.211022647
-5.54532513,-5.929518634,-4.035673515,0.337901916,-0.42428531,-3.711972258,2.309747357
8.866329689,1.686514296,3.006817217,-10.65399281,7.714464476,6.541474198,-4.147539828
-8.012068255,-7.02514314,-4.63531616,-2.036454496,-0.79497868,-4.42157702,2.123915358
-4.794974868,8.231694766,5.406267313,1.559274742,-6.418829948,-8.402443912,-8.040352502
-8.824291051,-5.502987444,-2.662065927,0.072321803,7.01055466,-6.223630104,1.345517455
-7.722853343,-5.711728153,-2.671071813,-0.198221939,4.379131102,-6.471751633,0.037572367
-3.11318281,9.100875916,4.484201601,3.140951746,-6.625206348,-6.542506931,-9.250204723
6.114087587,3.265127128,4.888619545,-9.522418505,11.06333943,6.381087297,-4.430514566
-2.490779244,10.69072344,4.96680621,1.754069155,-6.05022161,-9.091244902,-8.602713199
-6.256372528,-3.53702044,-3.543172669,-1.045227424,5.392182574,-6.010872843,0.281707368
-6.910292323,-3.956267191,-2.685194486,-0.745445787,7.439843037,-5.386472489,1.207197565
-4.964403177,-5.711079858,-4.532951414,-0.002005391,-2.088564434,-2.957869174,1.832006942
-7.901719495,-4.559197289,-2.864589589,0.897685754,4.367162797,-6.560185805,-0.628274598
-7.47151705,-6.307132056,-3.669037411,0.891396549,-1.138235631,-3.659510966,1.664361743
-0.016198106,9.008215217,5.478369611,2.054999042,-6.978516844,-5.96103311,-9.128602301
-7.154333158,-3.093151184,-3.087719013,-2.859454163,5.339648429,-7.632955116,0.700360742
7.138911921,0.864587311,4.672187106,-10.60625956,8.63973312,5.669437078,-5.891718808
-5.367717146,-5.952076348,-3.347849516,2.183440444,-1.967062611,-4.301558746,2.563728816
-8.974753881,-4.903279436,-2.133712805,-0.589675454,5.687083869,-6.891112843,0.62582099
-9.485985977,-5.081619903,-4.120369826,0.212967224,5.096651212,-6.520615696,-0.779641944
-7.684294059,-4.393719332,-3.43596761,1.218288745,-3.126620916,-3.395773344,1.880845444
-6.472122454,-6.854412145,-4.127562565,-0.358399675,0.162846182,-4.975157344,1.866077185
8.496417194,2.03936906,4.958135716,-8.87024807,9.93723854,6.326840845,-5.581158864
-5.819694002,-7.23152846,-4.529345559,-1.15780593,-0.321337338,-4.517035663,2.703379544
-5.224801709,-6.717310779,-3.748112037,0.780410584,-1.039079148,-5.349235193,0.56121773
-0.968873643,8.461108883,4.38592713,1.21930757,-6.49697364,-5.755177048,-10.58109973
-2.646569411,9.404750978,4.536657083,2.238532033,-7.462385849,-9.318926752,-8.972606919
-6.755494281,-7.156921701,-3.728053604,-0.043220825,-1.121302793,-3.071790286,-0.288773791
-7.877041117,-3.605737879,-3.001415822,0.444380255,5.319126037,-7.242907816,-0.184116557
-6.81686531,-3.865982471,-3.661912718,-0.039729273,-3.012639341,-2.201683753,2.073779509
-8.046791565,-4.76100068,-3.407083637,-1.443731687,6.990700275,-5.280485564,-0.79223435
-7.140212747,-7.401818946,-2.920261806,-0.102816832,-1.462975982,-5.096443124,1.488899957
8.105020155,1.158014973,5.297072141,-9.90498966,10.77268202,7.455529218,-8.696359352
-4.389207657,9.726998157,2.756728628,1.600850631,-6.442314004,-6.694934056,-8.412882892
-2.970367355,9.770850803,3.245383767,3.027061236,-8.074150131,-6.594306306,-9.683481715
-6.135381537,-5.424109005,-2.147562168,-1.035198882,6.792016085,-7.661524757,0.652476657
7.510630016,2.410724849,3.134199668,-11.18949131,10.02378835,8.133494678,-6.779571409
-7.79756523,-5.480902474,-0.967045373,0.044496631,6.623520212,-5.63886881,0.883790401
-8.112213693,-6.639805768,-3.221135054,1.777237024,-1.90838751,-3.442201358,2.873599933
-7.724058688,-4.593176347,-2.452367427,-0.829802937,6.608341347,-6.486782644,-0.933691834
-6.533221549,-4.837172661,-1.340117615,-0.252394754,4.766750627,-4.308514672,0.45279023
-7.429934131,-6.716377916,-5.219801139,0.866945444,-0.296643419,-4.296458688,0.616097845
-6.49162907,-5.288867276,-3.319323276,0.616372364,-1.915766502,-6.027759699,2.48414355
5.400306629,1.777127813,2.643035857,-9.54209851,10.14713316,8.142994713,-5.551823228
-8.882331611,-6.334645359,-4.309754608,0.891834324,-1.554757907,-4.260593288,1.373845135
-8.353907541,-4.265863122,-3.106960752,-2.019967289,6.534090241,-4.234431606,1.247276982
-7.930310799,-4.207336714,-1.132334182,-2.052299958,6.486114355,-7.454607565,1.968726396
-4.247729846,-6.841254899,-3.720381135,1.401777018,-1.080808335,-3.882933008,1.874655461
-1.329209093,10.06649728,4.737312947,1.746227218,-6.479627186,-4.591318932,-10.60156446
-6.573664303,-6.70048671,-1.903433565,-0.327774958,-0.433280171,-4.17350426,2.176118383
-7.484554814,-2.172130147,-3.895526557,-0.578133493,4.825797948,-6.314182298,1.029531103
-6.085657846,-3.987490415,-2.66889236,0.247031583,-3.780228765,-4.093774462,2.599354698
7.275663988,2.273303778,4.340865727,-11.10497266,9.048935158,8.265374471,-6.412541921
8.413995085,3.06728073,3.223498147,-7.98966252,7.941339415,6.024080233,-5.274215162
-6.501918508,-7.243707685,-3.976023518,0.736396008,-0.958935071,-3.995132423,2.004102881
-6.546467696,-7.598268458,-5.076502012,-0.474151347,-1.594772919,-3.099238462,3.297462106
-2.592303196,7.509565754,5.3999348,2.055609437,-8.337178691,-7.18931867,-9.590484162
7.685973784,2.007374862,3.58000847,-11.55166876,8.822888435,5.676402178,-5.287151038
-1.842885122,9.476877421,2.914072107,1.295605032,-5.685517788,-7.861275124,-9.302732019
-5.362483079,-3.88913823,-2.848064951,-0.945453173,4.960531325,-6.77210815,0.727095532
-6.867747697,-5.010014096,-2.467362362,-0.085835172,5.117283653,-5.887537935,0.139227179
-3.594945334,9.044082293,3.999724379,3.456913594,-7.614438089,-8.279337853,-10.99124127
-2.319491455,8.35230395,5.065766042,1.992317461,-7.5211141,-6.392237308,-7.033979647
-4.726788702,7.8461083,3.543003757,2.795235762,-6.007474085,-6.556073151,-8.01422486
8.122769373,2.588038739,4.197294851,-9.322014758,8.801210012,5.823065691,-4.993775613
-5.464017467,-3.853465229,-4.029500117,-1.065692829,6.555653251,-5.12148096,0.950513142
5.994117812,0.73084467,2.990789026,-8.992986826,7.992337357,6.350957471,-5.134928483
6.247629087,0.899105184,6.207106104,-9.057967212,9.702689245,5.591338146,-5.129875486
-6.313844229,-4.260409813,-2.161527402,-1.774304916,6.369777768,-6.210926964,-0.737294767
-7.660741937,-4.0502001,-3.448142138,-0.666468578,4.903917653,-4.476429893,-0.834188246
-5.692102753,-4.380524277,-6.100338236,-0.482067236,6.079346332,-7.87309204,-0.54770744
7.343536721,2.775944516,4.94511203,-9.145973854,10.65035608,6.525883869,-6.119935455
10.00315161,1.417786374,5.905947105,-9.649676154,7.743686648,7.131701562,-5.438455225
6.823370234,2.554322667,3.131365501,-7.142540545,10.33457718,6.456246377,-6.526051517
-6.584431416,-3.91602703,-2.221716592,-0.987632991,5.268200526,-5.536405674,0.173240952
-7.86025183,-3.361702556,-1.860764202,-1.050595301,5.27734732,-4.839277263,-0.075259897
6.884672925,0.883238727,1.703282125,-10.56907496,9.284540201,8.247976057,-5.080084094
-7.258476442,-4.101221392,-2.713489213,-1.25131062,4.247623106,-6.081178429,1.303613357
-1.808887744,8.438648302,4.761888651,4.533254222,-6.975687091,-5.730836267,-9.541504182
6.674524395,2.905907021,2.795253218,-10.66972349,9.734044308,7.165249484,-6.99826901
-8.03172446,-4.505596732,-3.004209594,0.348860777,5.906761102,-5.279741878,-0.208582953
-6.303072968,-2.576160597,-3.274942485,-1.255284469,4.781134599,-6.039221993,0.152456039
-8.261419159,-5.889945783,-2.269738252,-1.81400106,5.6687971,-6.188246851,-0.656867913
-5.515183436,-6.409199303,-4.10363196,-0.933737518,-0.003758131,-4.345310398,2.774423319
7.209526363,1.682316513,6.11439611,-10.81384484,9.532998467,6.630514749,-5.870628087
7.5880046,2.086002595,3.944624506,-9.881068033,9.900097277,6.620036214,-5.438245915
7.547046678,0.538321175,5.613378188,-10.53584086,10.65125525,6.558609935,-4.577206801
-3.917658919,7.457656955,5.245888788,0.692740331,-5.124833009,-8.962039001,-7.141871388
5.814913461,2.268484179,3.243135419,-11.07824632,8.134325483,6.975233824,-4.392180426
